symbol	anterior	approximant	back	consonantal	constricted glottis	continuant	coronal	delayed_release	diphthong	distributed	dorsal	front	front-diphthong	high	labial	labiodental	lateral	long	low	nasal	round	segment	sonorant	spread glottis	stress	strident	syllabic	tap	tense	trill	voice
ɣ̠	0	-1	1	1	-1	1	-1	1	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
ɱ̥	0	-1	0	1	-1	-1	-1	0	0	0	-1	0	0	0	1	1	-1	-1	0	1	-1	1	1	-1	-1	0	-1	-1	0	-1	-1
yː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
d͡z	1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
t͡s	1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ɑː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ỹ	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	1	-1	1	-1	1
æ	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	1	-1	0	-1	1
ɢ̥	0	-1	1	1	-1	-1	-1	-1	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
eɪ	0	1	-1	-1	-1	1	-1	0	1	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	0	1	-1	1	-1	1
ə	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
ɶ̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	-1	1	-1	-1	1	1	1	1	1	1	-1	-1	0	1	-1	0	-1	1
ʈ	-1	-1	0	1	-1	-1	1	-1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ɦ	0	-1	0	-1	-1	1	-1	1	0	0	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	1	-1	0	-1	-1	0	-1	1
d̠ɮ̠	-1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
p͡f	0	-1	0	1	-1	-1	-1	1	0	0	-1	0	0	0	1	1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
β̥	0	-1	0	1	-1	1	-1	1	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
t̪͡ɬ̪	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
u	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
ɤ	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ɥ̥	0	1	-1	-1	-1	1	-1	0	0	0	1	1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	-1
ʋ̥	0	1	0	-1	-1	1	-1	0	0	0	-1	0	0	0	1	1	-1	-1	0	-1	-1	1	1	-1	-1	0	-1	-1	0	-1	-1
ʤ	-1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
ʊ̃	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ɘ̃	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
ʝ̥	-1	-1	-1	1	-1	1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ũː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	1	-1	1
ɵ̥	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	-1
k̠	0	-1	1	1	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
t̪ɬ̪	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ɦ̥	0	-1	0	-1	-1	1	-1	1	0	0	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	1	-1	0	-1	-1	0	-1	-1
ɵ̃ː	0	1	-1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	1	-1	1
ɚ	-1	1	-1	-1	-1	1	1	0	-1	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	-1	-1	1
ʊː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	0	1	-1	-1	-1	1
ɖʐ	-1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
ʟ̟	0	1	-1	1	-1	1	-1	0	0	0	1	1	0	1	-1	-1	1	-1	-1	-1	-1	1	1	-1	-1	0	-1	-1	0	-1	1
ŋ	0	-1	-1	1	-1	-1	-1	0	0	0	1	1	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	-1	-1	0	-1	1
f	0	-1	0	1	-1	1	-1	1	0	0	-1	0	0	0	1	1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ɡ̠̥	0	-1	1	1	-1	-1	-1	-1	0	0	1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ĩ	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	1	-1	1	-1	1
d̪z̪	1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	1
bv	0	-1	0	1	-1	-1	-1	1	0	0	-1	0	0	0	1	1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	1
d̠͡ɮ̠	-1	-1	0	1	-1	-1	1	1	0	1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
ʊ̃ː	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	0	1	-1	-1	-1	1
y	0	1	-1	-1	-1	1	-1	0	-1	0	1	1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	0	1	-1	1	-1	1
p	0	-1	0	1	-1	-1	-1	-1	0	0	-1	0	0	0	1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	0	-1	-1	0	-1	-1
ʌ	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	0	1	-1	-1	-1	1
ɟ	-1	-1	-1	1	-1	-1	1	-1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1
ç	-1	-1	-1	1	-1	1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ɬ	1	-1	0	1	-1	1	1	1	0	-1	-1	0	0	0	-1	-1	1	-1	0	-1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	-1
ɴ	0	-1	1	1	-1	-1	-1	0	0	0	1	-1	0	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1	-1	0	-1	-1	0	-1	1
tɕ	1	-1	-1	1	-1	-1	1	1	0	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
ɒ	0	1	1	-1	-1	1	-1	0	-1	0	1	-1	0	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	0	1	-1	0	-1	1
ʈ͡ʂ	-1	-1	0	1	-1	-1	1	1	0	-1	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	1	-1	-1	-1	1	-1	-1	0	-1	-1
